school,conference_slug,start_year,end_year
Air Force,mountain-west,2024,
Akron,mac,2024,
Alabama A&M,swac,2024,
Alabama State,swac,2024,
Albany (NY),america-east,2024,
Alcorn State,swac,2024,
American,patriot,2024,
Appalachian State,sun-belt,2024,
Arizona State,pac-12,2024,
Arizona,pac-12,2024,
Arkansas State,sun-belt,2024,
Arkansas-Pine Bluff,swac,2024,
Army,patriot,2024,
Auburn,sec,2024,
Austin Peay,asun,2024,
Ball State,mac,2024,
Baylor,big-12,2024,
Belmont,missouri-valley,2024,
Bethune-Cookman,swac,2024,
Binghamton,america-east,2024,
Boise State,mountain-west,2024,
Boston College,acc,2024,
Bowling Green State,mac,2024,
Bradley,missouri-valley,2024,
Brigham Young,big-12,2024,
Brown,ivy,2024,
Bryant,america-east,2024,
Bucknell,patriot,2024,
Buffalo,mac,2024,
Butler,big-east,2024,
Cal Poly,big-west,2024,
Cal State Fullerton,big-west,2024,
Cal State Northridge,big-west,2024,
California Baptist,wac,2024,
California,pac-12,2024,
Campbell,colonial,2024,
Canisius,maac,2024,
Central Arkansas,asun,2024,
Central Florida,big-12,2024,
Central Michigan,mac,2024,
Charleston Southern,big-south,2024,
Charlotte,aac,2024,
Chattanooga,socon,2024,
Chicago State,independent,2024,
Cincinnati,big-12,2024,
Clemson,acc,2024,
Cleveland State,horizon,2024,
Colgate,patriot,2024,
College of Charleston,colonial,2024,
Colorado,pac-12,2024,
Colorado State,mountain-west,2024,
Columbia,ivy,2024,
Connecticut,big-east,2024,
Coppin State,meac,2024,
Cornell,ivy,2024,
Dartmouth,ivy,2024,
Davidson,atlantic-10,2024,
Dayton,atlantic-10,2024,
Delaware,colonial,2024,
Delaware State,meac,2024,
Denver,summit,2024,
DePaul,big-east,2024,
Drake,missouri-valley,2024,
Drexel,colonial,2024,
Duke,acc,2024,
Duquesne,atlantic-10,2024,
East Carolina,aac,2024,
East Tennessee State,socon,2024,
Eastern Kentucky,asun,2024,
Eastern Michigan,mac,2024,
Eastern Washington,big-sky,2024,
Elon,colonial,2024,
Evansville,missouri-valley,2024,
Fairfield,maac,2024,
Florida A&M,swac,2024,
Florida,sec,2024,
Florida Gulf Coast,asun,2024,
Florida International,conference-usa,2024,
Florida State,acc,2024,
Fordham,atlantic-10,2024,
Fresno State,mountain-west,2024,
Furman,socon,2024,
George Mason,atlantic-10,2024,
George Washington,atlantic-10,2024,
Georgetown,big-east,2024,
Georgia,sec,2024,
Georgia Southern,sun-belt,2024,
Georgia State,sun-belt,2024,
Georgia Tech,acc,2024,
Gonzaga,west-coast,2024,
Grand Canyon,wac,2024,
Green Bay,horizon,2024,
Hampton,big-south,2024,
Harvard,ivy,2024,
Hawaii,big-west,2024,
High Point,big-south,2024,
Hofstra,colonial,2024,
Holy Cross,patriot,2024,
Houston,big-12,2024,
Howard,meac,2024,
Idaho State,big-sky,2024,
Idaho,big-sky,2024,
Illinois,big-ten,2024,
Illinois State,missouri-valley,2024,
Illinois-Chicago,missouri-valley,2024,
Incarnate Word,southland,2024,
Indiana,big-ten,2024,
Indiana State,missouri-valley,2024,
Iona,maac,2024,
Iowa,big-ten,2024,
Jackson State,swac,2024,
Jacksonville,asun,2024,
Jacksonville State,conference-usa,2024,
James Madison,sun-belt,2024,
Kansas City,summit,2024,
Kansas,big-12,2024,
Kennesaw State,conference-usa,2024,
Kent State,mac,2024,
Kentucky,sec,2024,
La Salle,atlantic-10,2024,
Lafayette,patriot,2024,
Lamar,southland,2024,
Lehigh,patriot,2024,
Liberty,conference-usa,2024,
Lindenwood,ohio-valley,2024,
Lipscomb,asun,2024,
Little Rock,ohio-valley,2024,
Long Beach State,big-west,2024,
Longwood,big-south,2024,
Louisiana,sun-belt,2024,
Louisiana State,sec,2024,
Louisiana Tech,conference-usa,2024,
Louisiana-Monroe,sun-belt,2024,
Louisville,acc,2024,
Loyola (IL),atlantic-10,2024,
Loyola (MD),patriot,2024,
Maine,america-east,2024,
Manhattan,maac,2024,
Marist,maac,2024,
Marquette,big-east,2024,
Marshall,sun-belt,2024,
Maryland,big-ten,2024,
Maryland-Eastern Shore,meac,2024,
Massachusetts,atlantic-10,2024,
Massachusetts-Lowell,america-east,2024,
McNeese State,southland,2024,
Memphis,aac,2024,
Mercer,socon,2024,
Merrimack,nec,2024,
Miami (FL),acc,2024,
Miami (OH),mac,2024,
Michigan State,big-ten,2024,
Michigan,big-ten,2024,
Milwaukee,horizon,2024,
Minnesota,big-ten,2024,
Mississippi Valley State,swac,2024,
Missouri State,missouri-valley,2024,
Missouri,sec,2024,
Monmouth,colonial,2024,
Montana,big-sky,2024,
Montana State,big-sky,2024,
Morehead State,ohio-valley,2024,
Morgan State,meac,2024,
Murray State,missouri-valley,2024,
Navy,patriot,2024,
NC State,acc,2024,
Nebraska,big-ten,2024,
Nevada,mountain-west,2024,
Nevada-Las Vegas,mountain-west,2024,
New Hampshire,america-east,2024,
New Mexico,mountain-west,2024,
New Orleans,southland,2024,
Niagara,maac,2024,
Nicholls State,southland,2024,
NJIT,america-east,2024,
Norfolk State,meac,2024,
North Alabama,asun,2024,
North Carolina A&T,colonial,2024,
North Carolina,acc,2024,
North Dakota,summit,2024,
North Dakota State,summit,2024,
North Florida,asun,2024,
North Texas,aac,2024,
Northeastern,colonial,2024,
Northern Arizona,big-sky,2024,
Northern Colorado,big-sky,2024,
Northern Iowa,missouri-valley,2024,
Northern Kentucky,horizon,2024,
Northwestern State,southland,2024,
Northwestern,big-ten,2024,
Notre Dame,acc,2024,
Oakland,horizon,2024,
Ohio,mac,2024,
Oklahoma,big-12,2024,
Oklahoma State,big-12,2024,
Old Dominion,sun-belt,2024,
Omaha,summit,2024,
Oral Roberts,summit,2024,
Oregon,pac-12,2024,
Oregon State,pac-12,2024,
Penn State,big-ten,2024,
Pennsylvania,ivy,2024,
Pepperdine,west-coast,2024,
Pittsburgh,acc,2024,
Portland,west-coast,2024,
Portland State,big-sky,2024,
Presbyterian,big-south,2024,
Princeton,ivy,2024,
Providence,big-east,2024,
Purdue,big-ten,2024,
Purdue-Fort Wayne,horizon,2024,
Queens (NC),asun,2024,
Quinnipiac,maac,2024,
Radford,big-south,2024,
Rice,aac,2024,
Richmond,atlantic-10,2024,
Rider,maac,2024,
Robert Morris,horizon,2024,
Rutgers,big-ten,2024,
Sacramento State,big-sky,2024,
Saint Francis (PA),nec,2024,
Saint Joseph's,atlantic-10,2024,
Saint Louis,atlantic-10,2024,
Saint Mary's (CA),west-coast,2024,
Saint Peter's,maac,2024,
Sam Houston State,conference-usa,2024,
Samford,socon,2024,
San Diego,west-coast,2024,
San Francisco,west-coast,2024,
San Jose State,mountain-west,2024,
Santa Clara,west-coast,2024,
Seattle,wac,2024,
Seton Hall,big-east,2024,
Siena,maac,2024,
South Alabama,sun-belt,2024,
South Carolina State,meac,2024,
South Carolina Upstate,big-south,2024,
South Dakota,summit,2024,
South Dakota State,summit,2024,
South Florida,aac,2024,
Southeastern Louisiana,southland,2024,
Southern California,pac-12,2024,
Southern Illinois,missouri-valley,2024,
Southern Illinois-Edwardsville,ohio-valley,2024,
Southern Indiana,ohio-valley,2024,
Southern,swac,2024,
Southern Methodist,acc,2024,
Southern Utah,wac,2024,
St. Bonaventure,atlantic-10,2024,
St. John's (NY),big-east,2024,
St. Thomas,summit,2024,
Stanford,pac-12,2024,
Stephen F. Austin,wac,2024,
Stetson,asun,2024,
Stonehill,nec,2024,
Syracuse,acc,2024,
Tarleton State,wac,2024,
TCU,big-12,2024,
Temple,aac,2024,
Tennessee State,ohio-valley,2024,
Tennessee Tech,ohio-valley,2024,
Tennessee,sec,2024,
Texas A&M,sec,2024,
Texas A&M-Corpus Christi,southland,2024,
Texas,big-12,2024,
Texas Southern,swac,2024,
Texas State,sun-belt,2024,
Texas Tech,big-12,2024,
Texas-Rio Grande Valley,wac,2024,
Toledo,mac,2024,
Towson,colonial,2024,
Troy,sun-belt,2024,
Tulane,aac,2024,
Tulsa,aac,2024,
UAB,aac,2024,
UC Davis,big-west,2024,
UC Irvine,big-west,2024,
UC Riverside,big-west,2024,
UC Santa Barbara,big-west,2024,
UCLA,pac-12,2024,
UNC Asheville,big-south,2024,
UNC Greensboro,socon,2024,
UNC Wilmington,colonial,2024,
UT Arlington,wac,2024,
Utah State,mountain-west,2024,
Utah Tech,wac,2024,
Utah,pac-12,2024,
Utah Valley,wac,2024,
UTEP,conference-usa,2024,
Valparaiso,missouri-valley,2024,
Vanderbilt,sec,2024,
Vermont,america-east,2024,
Villanova,big-east,2024,
Virginia,acc,2024,
Virginia Military Institute,socon,2024,
Virginia Tech,acc,2024,
Wagner,nec,2024,
Wake Forest,acc,2024,
Washington,pac-12,2024,
Washington State,pac-12,2024,
Weber State,big-sky,2024,
West Virginia,big-12,2024,
Western Illinois,ohio-valley,2024,
Western Kentucky,conference-usa,2024,
Western Michigan,mac,2024,
Wichita State,aac,2024,
East Texas A&M,southland,2024,
Abilene Christian,wac,2024,
Alabama,sec,2024,
Arkansas,sec,2024,
Bellarmine,asun,2024,
Boston University,patriot,2024,
Cal State Bakersfield,big-west,2024,
Central Connecticut State,nec,2024,
Coastal Carolina,sun-belt,2024,
Creighton,big-east,2024,
Detroit Mercy,horizon,2024,
Eastern Illinois,ohio-valley,2024,
Fairleigh Dickinson,nec,2024,
Florida Atlantic,aac,2024,
Gardner-Webb,big-south,2024,
Grambling,swac,2024,
Houston Christian,wac,2024,
Iowa State,big-12,2024,
IU Indy,horizon,2024,
Kansas State,big-12,2024,
Le Moyne,maac,2024,
Long Island University,nec,2024,
Loyola Marymount,west-coast,2024,
Maryland-Baltimore County,america-east,2024,
Middle Tennessee,conference-usa,2024,
Mississippi,sec,2024,
Mississippi State,sec,2024,
Mount St. Mary's,maac,2024,
New Mexico State,conference-usa,2024,
North Carolina Central,meac,2024,
Northern Illinois,mac,2024,
Ohio State,big-ten,2024,
Pacific,west-coast,2024,
Prairie View,swac,2024,
Rhode Island,atlantic-10,2024,
Sacred Heart,nec,2024,
San Diego State,mountain-west,2024,
William & Mary,colonial,2024,
Winthrop,big-south,2024,
Wisconsin,big-ten,2024,
Wofford,socon,2024,
Wright State,horizon,2024,
Wyoming,mountain-west,2024,
Xavier,big-east,2024,
Yale,ivy,2024,
Youngstown State,horizon,2024,
Mercyhurst,nec,2024,
West Georgia,asun,2024,
South Carolina,sec,2024,
Southeast Missouri State,ohio-valley,2024,
Southern Mississippi,sun-belt,2024,
Stony Brook,colonial,2024,
Tennessee-Martin,ohio-valley,2024,
The Citadel,socon,2024,
UC San Diego,big-west,2024,
UTSA,aac,2024,
Virginia Commonwealth,atlantic-10,2024,
Western Carolina,socon,2024,
